,#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days
,43,OFFICIAL TRUMPTRUMPBuy,$12.38,2.11%,13.55%,4.02%,"$2.48B$2,476,551,659","$1,543,958,330124.68M TRUMP",199.99M TRUMP,
,44,RenderRENDERBuy,$4.67,1.64%,10.78%,0.51%,"$2.42B$2,418,033,161","$103,029,43022.05M RENDER",517.71M RENDER,
,45,VeChainVETBuy,$0.02794,1.31%,12.77%,2.30%,"$2.4B$2,402,720,302","$67,667,9902.42B VET",85.98B VET,
,46,World Liberty Financial USDUSD1Buy,$1.00,0.05%,0.19%,0.01%,"$2.13B$2,128,153,540","$106,615,332106.60M USD1",2.12B USD1,
,47,EthenaENABuy,$0.3422,0.62%,28.61%,5.54%,"$1.99B$1,991,804,763","$318,315,403930.15M ENA",5.82B ENA,
,48,FilecoinFILBuy,$2.90,0.94%,12.94%,1.99%,"$1.93B$1,931,093,841","$145,430,32350.04M FIL",664.55M FIL,
,49,AlgorandALGOBuy,$0.2224,1.67%,12.36%,1.26%,"$1.91B$1,911,634,600","$108,728,825488.74M ALGO",8.59B ALGO,
,50,Artificial Superintelligence AllianceFETBuy,$0.7663,2.69%,14.17%,4.29%,"$1.83B$1,832,157,596","$177,067,200231.05M FET",2.39B FET,
,51,CosmosATOMBuy,$4.52,0.94%,8.80%,1.41%,"$1.77B$1,768,276,698","$107,610,04423.79M ATOM",390.93M ATOM,
,52,ArbitrumARBBuy,$0.3583,1.74%,16.18%,5.10%,"$1.7B$1,704,669,844","$230,151,969642.21M ARB",4.75B ARB,
,53,CelestiaTIABuy,$2.71,2.09%,11.00%,1.13%,"$1.71B$1,705,058,684","$406,296,109149.59M TIA",627.78M TIA,
,54,Sonic (prev. FTM)SBuy,$0.5590,2.65%,10.59%,2.84%,"$1.61B$1,609,961,778","$163,701,037292.83M S",2.88B S,
,55,BonkBONKBuy,$0.00001967,1.84%,16.99%,4.49%,"$1.56B$1,556,081,199","$407,300,32120.69T BONK",79.07T BONK,
,56,First Digital USDFDUSDBuy,$0.9987,0.05%,0.01%,0.03%,"$1.53B$1,530,241,032","$3,550,953,8253.55B FDUSD",1.53B FDUSD,
,57,StacksSTXBuy,$0.9694,1.17%,8.39%,14.84%,"$1.48B$1,478,360,431","$146,672,860151.29M STX",1.52B STX,
,58,WorldcoinWLDBuy,$1.04,2.00%,12.92%,1.02%,"$1.44B$1,444,189,956","$254,493,259243.49M WLD",1.38B WLD,
,59,MakerMKRBuy,"$1,687.69",1.69%,12.47%,9.50%,"$1.41B$1,407,181,845","$94,852,88056.20K MKR",833.78K MKR,
,60,KuCoin TokenKCSBuy,$11.05,0.31%,2.80%,2.68%,"$1.38B$1,382,117,513","$1,618,648146.42K KCS",125.02M KCS,
,61,JupiterJUPBuy,$0.4721,2.03%,10.37%,1.22%,"$1.37B$1,368,155,441","$58,303,945123.49M JUP",2.89B JUP,
,62,Virtuals ProtocolVIRTUALBuy,$2.05,2.21%,50.80%,26.36%,"$1.34B$1,344,129,967","$867,744,886421.25M VIRTUAL",652.51M VIRTUAL,
,63,EOSEOSBuy,$0.8457,0.00%,4.70%,20.97%,"$1.32B$1,322,636,727","$393,851,980465.69M EOS",1.56B EOS,
,64,FlareFLRBuy,$0.02004,0.59%,4.30%,11.00%,"$1.3B$1,304,103,367","$15,443,319770.51M FLR",65.06B FLR,
,65,DeXeDEXEBuy,$14.70,0.07%,1.76%,11.26%,"$1.23B$1,231,168,773","$13,554,802921.87K DEXE",83.73M DEXE,
,66,FartcoinFARTCOINBuy,$1.20,1.52%,19.21%,0.94%,"$1.21B$1,209,854,407","$283,057,506233.95M FARTCOIN",999.99M FARTCOIN,
,67,XDC NetworkXDCBuy,$0.07675,0.33%,5.49%,0.85%,"$1.21B$1,205,582,366","$43,487,435566.58M XDC",15.7B XDC,
